file,name,id,page,row,col,needs_name
baby-lying-curled.svg,baby-lying-curled,SCAN0003_r01_c02,SCAN0003,1,2,0
baby-sitting.svg,baby-sitting,SCAN0003_r01_c03,SCAN0003,1,3,0
toddler-standing.svg,toddler-standing,SCAN0003_r01_c04,SCAN0003,1,4,0
baby-crawling.svg,baby-crawling,SCAN0003_r01_c05,SCAN0003,1,5,0
child-carrying-bag.svg,child-carrying-bag,SCAN0003_r02_c01,SCAN0003,2,1,0
boy-standing.svg,boy-standing,SCAN0003_r02_c02,SCAN0003,2,2,0
girl-dress-standing.svg,girl-dress-standing,SCAN0003_r02_c03,SCAN0003,2,3,0
girl-pigtails.svg,girl-pigtails,SCAN0003_r02_c04,SCAN0003,2,4,0
child-suspenders.svg,child-suspenders,SCAN0003_r02_c05,SCAN0003,2,5,0
girl-pinafore.svg,girl-pinafore,SCAN0003_r03_c01,SCAN0003,3,1,0
boy-suit-standing.svg,boy-suit-standing,SCAN0003_r03_c02,SCAN0003,3,2,0
youth-legs-apart.svg,youth-legs-apart,SCAN0003_r03_c03,SCAN0003,3,3,0
woman-dress-standing.svg,woman-dress-standing,SCAN0003_r03_c04,SCAN0003,3,4,0
woman-slim-dress.svg,woman-slim-dress,SCAN0003_r03_c05,SCAN0003,3,5,0
woman-skirt-standing.svg,woman-skirt-standing,SCAN0003_r04_c01,SCAN0003,4,1,0
child-arms-out.svg,child-arms-out,SCAN0003_r04_c02,SCAN0003,4,2,0
girl-short-dress.svg,girl-short-dress,SCAN0003_r04_c03,SCAN0003,4,3,0
man-suit-standing.svg,man-suit-standing,SCAN0003_r04_c04,SCAN0003,4,4,0
woman-long-hair.svg,woman-long-hair,SCAN0003_r04_c05,SCAN0003,4,5,0
child-running.svg,child-running,SCAN0003_r05_c01,SCAN0003,5,1,0
boy-walking.svg,boy-walking,SCAN0003_r05_c02,SCAN0003,5,2,0
youth-walking.svg,youth-walking,SCAN0003_r05_c03,SCAN0003,5,3,0
man-walking-hat.svg,man-walking-hat,SCAN0003_r05_c04,SCAN0003,5,4,0
man-walking-hat-coat.svg,man-walking-hat-coat,SCAN0003_r05_c05,SCAN0003,5,5,0
girl-skipping.svg,girl-skipping,SCAN0003_r06_c01,SCAN0003,6,1,0
woman-dancing.svg,woman-dancing,SCAN0003_r06_c02,SCAN0003,6,2,0
woman-walking.svg,woman-walking,SCAN0003_r06_c03,SCAN0003,6,3,0
woman-walking-bun.svg,woman-walking-bun,SCAN0003_r06_c04,SCAN0003,6,4,0
woman-walking-dress.svg,woman-walking-dress,SCAN0003_r06_c05,SCAN0003,6,5,0
woman-holding-children.svg,woman-holding-children,SCAN0004_r01_c01,SCAN0004,1,1,0
person-at-tiered-desk.svg,person-at-tiered-desk,SCAN0004_r01_c02,SCAN0004,1,2,0
man-carrying-box.svg,man-carrying-box,SCAN0004_r01_c03,SCAN0004,1,3,0
man-holding-child.svg,man-holding-child,SCAN0004_r01_c04,SCAN0004,1,4,0
person-with-briefcase.svg,person-with-briefcase,SCAN0004_r01_c05,SCAN0004,1,5,0
golfer-putting.svg,golfer-putting,SCAN0004_r02_c01,SCAN0004,2,1,0
baseball-batter.svg,baseball-batter,SCAN0004_r02_c02,SCAN0004,2,2,0
diver.svg,diver,SCAN0004_r02_c03,SCAN0004,2,3,0
basketball-players.svg,basketball-players,SCAN0004_r02_c04,SCAN0004,2,4,0
teacher-with-pointer.svg,teacher-with-pointer,SCAN0004_r03_c02,SCAN0004,3,2,0
woman-teacher-pointer.svg,woman-teacher-pointer,SCAN0004_r03_c03,SCAN0004,3,3,0
woman-teacher.svg,woman-teacher,SCAN0004_r03_c04,SCAN0004,3,4,0
person-at-drafting-table.svg,person-at-drafting-table,SCAN0004_r03_c05,SCAN0004,3,5,0
teacher-at-desk-globe.svg,teacher-at-desk-globe,SCAN0004_r04_c01,SCAN0004,4,1,0
student-seated-hunched.svg,student-seated-hunched,SCAN0004_r04_c02,SCAN0004,4,2,0
student-reading-seated.svg,student-reading-seated,SCAN0004_r04_c03,SCAN0004,4,3,0
two-students-seated.svg,two-students-seated,SCAN0004_r04_c04,SCAN0004,4,4,0
woman-carrying-books.svg,woman-carrying-books,SCAN0004_r04_c05,SCAN0004,4,5,0
student-carrying-book.svg,student-carrying-book,SCAN0004_r05_c01,SCAN0004,5,1,0
rolled-diploma.svg,rolled-diploma,SCAN0004_r05_c02,SCAN0004,5,2,0
framed-certificate.svg,framed-certificate,SCAN0004_r05_c03,SCAN0004,5,3,0
cheerleaders.svg,cheerleaders,SCAN0004_r05_c04,SCAN0004,5,4,0
person-arms-outstretched.svg,person-arms-outstretched,SCAN0004_r05_c05,SCAN0004,5,5,0
graduate-cap-gown.svg,graduate-cap-gown,SCAN0004_r06_c01,SCAN0004,6,1,0
student-at-desk-writing.svg,student-at-desk-writing,SCAN0004_r06_c02,SCAN0004,6,2,0
man-walking-carrying-book.svg,man-walking-carrying-book,SCAN0005_r01_c01,SCAN0005,1,1,0
man-walking-with-bag.svg,man-walking-with-bag,SCAN0005_r01_c02,SCAN0005,1,2,0
man-striding.svg,man-striding,SCAN0005_r01_c03,SCAN0005,1,3,0
man-hat-with-briefcase.svg,man-hat-with-briefcase,SCAN0005_r01_c04,SCAN0005,1,4,0
man-hat-walking.svg,man-hat-walking,SCAN0005_r01_c05,SCAN0005,1,5,0
man-suit-standing-2.svg,man-suit-standing,SCAN0005_r02_c01,SCAN0005,2,1,0
man-overcoat.svg,man-overcoat,SCAN0005_r02_c02,SCAN0005,2,2,0
woman-walking-with-book.svg,woman-walking-with-book,SCAN0005_r02_c03,SCAN0005,2,3,0
person-walking-with-case.svg,person-walking-with-case,SCAN0005_r02_c04,SCAN0005,2,4,0
person-walking-with-book.svg,person-walking-with-book,SCAN0005_r02_c05,SCAN0005,2,5,0
boy-standing-2.svg,boy-standing,SCAN0005_r03_c01,SCAN0005,3,1,0
man-hands-in-pockets.svg,man-hands-in-pockets,SCAN0005_r03_c02,SCAN0005,3,2,0
person-v-neck-sweater.svg,person-v-neck-sweater,SCAN0005_r03_c03,SCAN0005,3,3,0
man-overalls.svg,man-overalls,SCAN0005_r03_c04,SCAN0005,3,4,0
man-overalls-suspenders.svg,man-overalls-suspenders,SCAN0005_r03_c05,SCAN0005,3,5,0
man-overalls-front.svg,man-overalls-front,SCAN0005_r04_c02,SCAN0005,4,2,0
person-carrying-box.svg,person-carrying-box,SCAN0005_r04_c03,SCAN0005,4,3,0
woman-arms-crossed.svg,woman-arms-crossed,SCAN0005_r04_c04,SCAN0005,4,4,0
person-with-stick.svg,person-with-stick,SCAN0005_r04_c05,SCAN0005,4,5,0
man-with-pickaxe.svg,man-with-pickaxe,SCAN0005_r05_c01,SCAN0005,5,1,0
boy-scout-standing.svg,boy-scout-standing,SCAN0005_r05_c02,SCAN0005,5,2,0
man-hat-standing.svg,man-hat-standing,SCAN0005_r05_c03,SCAN0005,5,3,0
scout-with-neckerchief.svg,scout-with-neckerchief,SCAN0005_r05_c04,SCAN0005,5,4,0
man-walking.svg,man-walking,SCAN0005_r05_c05,SCAN0005,5,5,0
boy-walking-cap.svg,boy-walking-cap,SCAN0005_r06_c01,SCAN0005,6,1,0
man-with-sign-board.svg,man-with-sign-board,SCAN0005_r06_c02,SCAN0005,6,2,0
person-holding-banner.svg,person-holding-banner,SCAN0005_r06_c03,SCAN0005,6,3,0
scout-with-staff.svg,scout-with-staff,SCAN0005_r06_c04,SCAN0005,6,4,0
scout-standing.svg,scout-standing,SCAN0005_r06_c05,SCAN0005,6,5,0
wedding-couple.svg,wedding-couple,SCAN0006_r01_c02,SCAN0006,1,2,0
couple-standing.svg,couple-standing,SCAN0006_r01_c03,SCAN0006,1,3,0
couple-dancing.svg,couple-dancing,SCAN0006_r01_c04,SCAN0006,1,4,0
couple-side-by-side.svg,couple-side-by-side,SCAN0006_r01_c05,SCAN0006,1,5,0
family-group.svg,family-group,SCAN0006_r02_c01,SCAN0006,2,1,0
couple-with-child.svg,couple-with-child,SCAN0006_r02_c02,SCAN0006,2,2,0
family-with-child.svg,family-with-child,SCAN0006_r02_c03,SCAN0006,2,3,0
parent-two-children.svg,parent-two-children,SCAN0006_r02_c04,SCAN0006,2,4,0
family-children.svg,family-children,SCAN0006_r02_c05,SCAN0006,2,5,0
couple-two-adults.svg,couple-two-adults,SCAN0006_r03_c01,SCAN0006,3,1,0
couple-holding-hands.svg,couple-holding-hands,SCAN0006_r03_c02,SCAN0006,3,2,0
couple-close.svg,couple-close,SCAN0006_r03_c03,SCAN0006,3,3,0
parent-and-child.svg,parent-and-child,SCAN0006_r03_c04,SCAN0006,3,4,0
elderly-couple.svg,elderly-couple,SCAN0006_r03_c05,SCAN0006,3,5,0
family-of-three.svg,family-of-three,SCAN0006_r04_c01,SCAN0006,4,1,0
family-parents-child.svg,family-parents-child,SCAN0006_r04_c02,SCAN0006,4,2,0
family-father-hat.svg,family-father-hat,SCAN0006_r04_c03,SCAN0006,4,3,0
family-group-children.svg,family-group-children,SCAN0006_r04_c04,SCAN0006,4,4,0
mother-two-children.svg,mother-two-children,SCAN0006_r04_c05,SCAN0006,4,5,0
family-of-four.svg,family-of-four,SCAN0006_r05_c01,SCAN0006,5,1,0
family-with-children.svg,family-with-children,SCAN0006_r05_c02,SCAN0006,5,2,0
family-large-group.svg,family-large-group,SCAN0006_r05_c03,SCAN0006,5,3,0
family-at-table.svg,family-at-table,SCAN0006_r05_c04,SCAN0006,5,4,0
couple.svg,couple,SCAN0006_r05_c05,SCAN0006,5,5,0
couple-man-woman.svg,couple-man-woman,SCAN0006_r06_c01,SCAN0006,6,1,0
mother-and-child.svg,mother-and-child,SCAN0006_r06_c02,SCAN0006,6,2,0
woman-standing.svg,woman-standing,SCAN0006_r06_c03,SCAN0006,6,3,0
couple-embracing.svg,couple-embracing,SCAN0006_r06_c04,SCAN0006,6,4,0
woman-dress.svg,woman-dress,SCAN0006_r06_c05,SCAN0006,6,5,0
immigrant-family.svg,immigrant-family,SCAN0007_r01_c01,SCAN0007,1,1,0
person-seated-with-bundle.svg,person-seated-with-bundle,SCAN0007_r01_c02,SCAN0007,1,2,0
person-seated-with-child.svg,person-seated-with-child,SCAN0007_r01_c03,SCAN0007,1,3,0
man-seated-bench.svg,man-seated-bench,SCAN0007_r02_c02,SCAN0007,2,2,0
man-seated-leaning.svg,man-seated-leaning,SCAN0007_r02_c03,SCAN0007,2,3,0
figure-with-lasso.svg,figure-with-lasso,SCAN0007_r02_c04,SCAN0007,2,4,0
figures-group.svg,figures-group,SCAN0007_r02_c05,SCAN0007,2,5,0
man-striding-2.svg,man-striding,SCAN0007_r03_c01,SCAN0007,3,1,0
man-kneeling.svg,man-kneeling,SCAN0007_r03_c02,SCAN0007,3,2,0
pilgrim-woman.svg,pilgrim-woman,SCAN0007_r03_c03,SCAN0007,3,3,0
man-top-hat.svg,man-top-hat,SCAN0007_r03_c04,SCAN0007,3,4,0
soldier-standing.svg,soldier-standing,SCAN0007_r03_c05,SCAN0007,3,5,0
man-walking-2.svg,man-walking,SCAN0007_r04_c01,SCAN0007,4,1,0
man-feathered-hat.svg,man-feathered-hat,SCAN0007_r04_c02,SCAN0007,4,2,0
woman-long-dress-hat.svg,woman-long-dress-hat,SCAN0007_r04_c03,SCAN0007,4,3,0
woman-gown.svg,woman-gown,SCAN0007_r04_c04,SCAN0007,4,4,0
woman-long-dress.svg,woman-long-dress,SCAN0007_r04_c05,SCAN0007,4,5,0
man-in-cape.svg,man-in-cape,SCAN0007_r05_c01,SCAN0007,5,1,0
colonial-woman.svg,colonial-woman,SCAN0007_r05_c02,SCAN0007,5,2,0
man-standing.svg,man-standing,SCAN0007_r06_c02,SCAN0007,6,2,0
man-bow-tie.svg,man-bow-tie,SCAN0007_r06_c03,SCAN0007,6,3,0
man-headdress-bare-chest.svg,man-headdress-bare-chest,SCAN0007_r06_c04,SCAN0007,6,4,0
woman-head-covering.svg,woman-head-covering,SCAN0007_r06_c05,SCAN0007,6,5,0
woman-in-sari.svg,woman-in-sari,SCAN0008_r01_c01,SCAN0008,1,1,0
man-in-tunic.svg,man-in-tunic,SCAN0008_r01_c02,SCAN0008,1,2,0
woman-in-dress.svg,woman-in-dress,SCAN0008_r01_c03,SCAN0008,1,3,0
man-in-robe.svg,man-in-robe,SCAN0008_r01_c04,SCAN0008,1,4,0
man-tunic-standing.svg,man-tunic-standing,SCAN0008_r01_c05,SCAN0008,1,5,0
